#   line (B)   time (µs)
        1024       630.5
        2048       593.1
        4096       583.6
        8192       589.6
       16384       587.0
       32768       558.8
       65536      1000.3
      131072      1025.5
      262144      1217.2
      524288      1653.8
     1048576      1650.4
     2097152      1676.9
     4194304      1759.9
     8388608      8181.4
    16777216     12020.8
    33554432     12893.2
    67108864     13590.6
