#   line (B)   time (µs)
        1024       607.6
        2048       611.5
        4096       622.1
        8192       620.6
       16384       604.0
       32768       595.7
       65536      1097.2
      131072      1115.5
      262144      1323.2
      524288      1694.8
     1048576      1752.4
     2097152      1677.1
     4194304      1735.9
     8388608      9619.6
    16777216     12302.8
    33554432     12993.2
    67108864     13206.6
