#   line (B)  time (µs)
           1     59222.7
           2     29780.9
           4     14921.5
           8      7542.0
          16      3932.1
          32      2379.7
          64      2045.3
         128      1801.5
         256      1154.3
         512       550.7
        1024       264.0
