#   line (B)   time (µs)
        1024       595.8
        2048       606.3
        4096       583.1
        8192       618.0
       16384       628.9
       32768       592.2
       65536      1014.4
      131072      1077.2
      262144      1367.8
      524288      1595.3
     1048576      1678.3
     2097152      1669.1
     4194304      1860.8
     8388608      9322.7
    16777216     12234.7
    33554432     13451.5
    67108864     13295.7
